Kabupaten;Kecamatan;Jumlah Penduduk;Kepadatan Penduduk;Jumlah Desa dan Kelurahan;Kode BPS;Kode Kemendagri
Kabupaten Bogor;Nanggung;99812;627;11;ID3201010;32.01.21
Kabupaten Bogor;Leuwiliang;125552;1379;11;ID3201020;32.01.14
Kabupaten Bogor;Leuwisadeng;77871;2200;8;ID3201021;32.01.39
Kabupaten Bogor;Pamijahan;159236;1275;15;ID3201030;32.01.17
Kabupaten Bogor;Cibungbulang;147554;3838;15;ID3201040;32.01.16
Kabupaten Bogor;Ciampea;170206;5152;13;ID3201050;32.01.15
Kabupaten Bogor;Tenjolaya;64428;1558;7;ID3201051;32.01.40
Kabupaten Bogor;Dramaga;111112;4394;10;ID3201060;32.01.30
Kabupaten Bogor;Ciomas;172336;9241;11;ID3201070;32.01.29
Kabupaten Bogor;Tamansari;110481;3219;8;ID3201071;32.01.31
Kabupaten Bogor;Cijeruk;92838;1937;9;ID3201080;32.01.28
Kabupaten Bogor;Cigombong;98388;1024;9;ID3201081;32.01.38
Kabupaten Bogor;Caringin;132480;2809;12;ID3201090;32.01.27
Kabupaten Bogor;Ciawi;115816;1493;13;ID3201100;32.01.24
Kabupaten Bogor;Cisarua;128310;2726;10;ID3201110;32.01.25
Kabupaten Bogor;Megamendung;107945;1459;12;ID3201120;32.01.26
Kabupaten Bogor;Sukaraja;209415;3354;13;ID3201130;32.01.04
Kabupaten Bogor;Babakan Madang;115575;2641;9;ID3201140;32.01.05
Kabupaten Bogor;Sukamakmur;86526;937;10;ID3201150;32.01.09
Kabupaten Bogor;Cariu;52063;306;10;ID3201160;32.01.08
Kabupaten Bogor;Tanjungsari;57632;675;10;ID3201161;32.01.36
Kabupaten Bogor;Jonggol;145402;915;14;ID3201170;32.01.06
Kabupaten Bogor;Cileungsi;292163;2192;12;ID3201180;32.01.07
Kabupaten Bogor;Klapanunggal;131019;1857;9;ID3201181;32.01.32
Kabupaten Bogor;Gunung Putri;301397;4951;10;ID3201190;32.01.02
Kabupaten Bogor;Citeureup;215824;3137;14;ID3201200;32.01.03
Kabupaten Bogor;Cibinong;366403;7859;13;ID3201210;32.01.01
Kabupaten Bogor;Bojong Gede;292465;10320;9;ID3201220;32.01.13
Kabupaten Bogor;Tajurhalang;126099;4097;7;ID3201221;32.01.37
Kabupaten Bogor;Kemang;105937;3152;9;ID3201230;32.01.12
Kabupaten Bogor;Ranca Bungur;61733;2723;7;ID3201231;32.01.34
Kabupaten Bogor;Parung;123872;4812;9;ID3201240;32.01.10
Kabupaten Bogor;Ciseeng;111626;2703;10;ID3201241;32.01.33
Kabupaten Bogor;Gunung Sindur;129162;2615;10;ID3201250;32.01.11
Kabupaten Bogor;Rumpin;147432;1077;14;ID3201260;32.01.18
Kabupaten Bogor;Cigudeg;135373;762;15;ID3201270;32.01.22
Kabupaten Bogor;Sukajaya;67988;435;11;ID3201271;32.01.35
Kabupaten Bogor;Jasinga;107493;744;16;ID3201280;32.01.19
Kabupaten Bogor;Tenjo;73845;887;9;ID3201290;32.01.23
Kabupaten Bogor;Parung Panjang;118727;1664;11;ID3201300;32.01.20
